rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
11,0.2727272727272727,1.0,3,0,8,0,0.2727272727272727,1.0,0.42857142857142855,0.0,1.0,0.0,0.5285714285714286,0.5,0.3360983686201227,0.38577301561967936,logistic_regression_balanced,0.25,issuetype,Documentation
340,0.37058823529411766,0.9588235294117647,126,14,200,0,0.38650306748466257,1.0,0.5575221238938053,0.06542056074766354,0.9345794392523364,0.0,0.497161180079577,0.6519804183355585,0.26600674236888033,0.21941397068261842,logistic_regression_balanced,0.25,issuetype,Improvement
77,0.3246753246753247,0.8181818181818182,23,12,40,2,0.36507936507936506,0.92,0.5227272727272727,0.23076923076923078,0.7692307692307693,0.08,0.4142436606318166,0.5953846153846153,0.3015730638942551,0.2703954117933146,logistic_regression_balanced,0.25,issuetype,New Feature
69,0.3188405797101449,0.9855072463768116,22,1,46,0,0.3235294117647059,1.0,0.4888888888888889,0.02127659574468085,0.9787234042553191,0.0,0.691933563228874,0.8181818181818181,0.20770125018417507,0.2309655075838828,logistic_regression_balanced,0.25,issuetype,Story
173,0.05202312138728324,0.3699421965317919,4,104,60,5,0.0625,0.4444444444444444,0.1095890410958904,0.6341463414634146,0.36585365853658536,0.5555555555555556,0.06600384026903464,0.5575880758807588,0.08792321525159515,0.17716729033215015,logistic_regression_balanced,0.25,issuetype,Sub-task
309,0.18770226537216828,0.8673139158576052,55,38,213,3,0.20522388059701493,0.9482758620689655,0.3374233128834356,0.15139442231075698,0.848605577689243,0.05172413793103448,0.26109542691748194,0.6263222970188213,0.19513033511164485,0.2023181067557858,logistic_regression_balanced,0.25,issuetype,Task
48,0.125,0.14583333333333334,4,39,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.9285714285714286,0.07142857142857142,0.3333333333333333,0.7707692307692307,0.8928571428571429,0.07520592239805411,0.15175450354210773,logistic_regression_balanced,0.25,priority,Blocker
148,0.1554054054054054,0.75,20,34,91,3,0.18018018018018017,0.8695652173913043,0.29850746268656714,0.272,0.728,0.13043478260869565,0.3255566758693181,0.6601739130434783,0.1533341194184778,0.1707835274941173,logistic_regression_balanced,0.25,priority,Critical
1387,0.23215573179524152,0.8666186012977649,309,172,893,13,0.25707154742096505,0.9596273291925466,0.40551181102362205,0.16150234741784036,0.8384976525821596,0.040372670807453416,0.39858848326038043,0.6925451258274284,0.21355938980073108,0.2158292598245638,logistic_regression_balanced,0.25,priority,Major
251,0.41434262948207173,0.9880478087649402,104,3,144,0,0.41935483870967744,1.0,0.5909090909090909,0.02040816326530612,0.9795918367346939,0.0,0.5300343490753329,0.6315410779696495,0.28261572160944454,0.2274480967126615,logistic_regression_balanced,0.25,priority,Minor
41,0.34146341463414637,1.0,14,0,27,0,0.34146341463414637,1.0,0.509090909090909,0.0,1.0,0.0,0.4951668960431676,0.7407407407407407,0.2594209092980824,0.2966121104771931,logistic_regression_balanced,0.25,priority,Trivial
1694,0.2538370720188902,0.8831168831168831,417,185,1079,13,0.2787433155080214,0.9697674418604652,0.43302180685358255,0.1463607594936709,0.8536392405063291,0.030232558139534883,0.43202881078205735,0.7102323741536649,0.21891051757159763,0.21554505803651522,logistic_regression_balanced,0.25,status,Closed
24,0.0,0.25,0,18,6,0,0.0,0.0,0.0,0.75,0.25,,0.0,,0.09671586676397859,0.2232906236136434,logistic_regression_balanced,0.25,status,Done
